year,mean_live,mean_dead,total_cots,n_reefs
1993,25.952036585365853,2.1173536585365853,272,82
1994,25.307770114942528,1.177,121,87
1995,25.239233009708737,1.0935339805825244,300,103
1996,26.505827272727274,1.474,542,110
1997,23.33747297297297,1.3306486486486486,525,74
1998,25.746814814814815,1.9313333333333333,1085,108
1999,24.158304347826085,1.950086956521739,841,92
2000,23.77345918367347,2.4267551020408162,4527,98
2001,22.958054945054943,2.058043956043956,4172,91
2002,22.319634782608695,2.2724869565217394,2532,115
2003,20.766520408163263,2.307061224489796,5498,98
2004,21.71356179775281,2.2802134831460674,914,89
2005,24.35928282828283,1.6997070707070705,668,99
2006,21.187182692307694,1.7261346153846153,647,104
2007,18.91870408163265,1.5880204081632654,160,98
2008,20.918029411764707,1.5201029411764706,244,68
2009,20.233101449275363,1.8135072463768116,25,69
2010,18.589367816091954,1.5864367816091955,64,87
2011,15.77038775510204,1.4018367346938776,44,49
2012,13.091450980392157,1.1979803921568628,75,51
2013,19.97791304347826,1.836032608695652,957,92
2014,18.786041666666666,1.4688333333333334,236,48
2015,18.87012162162162,1.536554054054054,673,74
2016,26.11730769230769,1.6629807692307692,187,52
2017,24.107530120481925,6.137253012048193,401,83
2018,22.94386,1.60154,1694,50
2019,19.99059375,1.390640625,792,64
2020,23.129313953488374,1.2278023255813952,484,86
2021,29.468385826771655,0.8521259842519685,712,127
2022,35.46058620689655,1.2288505747126437,627,87
2023,34.16044144144144,1.7420540540540541,662,111
